Month,District of Columbia Total Gasoline All Sales/Deliveries by Prime Supplier Thousand Gallons per Day
Jul-21,194.9
Jun-21,189
May-21,181.8
Apr-21,170.9
Mar-21,172.3
Feb-21,161.6
Jan-21,161.3
Dec-20,164.8
Nov-20,177.9
Oct-20,169.3
Sep-20,174.1
Aug-20,172.1
Jul-20,166.3
Jun-20,150.8
May-20,117.9
Apr-20,94.1
Mar-20,152.6
Feb-20,182.5
Jan-20,181.8
Dec-19,184.7
Nov-19,196.7
Oct-19,202.2
Sep-19,229.3
Aug-19,227.5
Jul-19,201.4
Jun-19,197.7
May-19,200.6
Apr-19,184.3
Mar-19,192.3
Feb-19,175.1
Jan-19,163.6
Dec-18,183.7
Nov-18,193.5
Oct-18,201.8
Sep-18,205.9
Aug-18,202.9
Jul-18,209.8
Jun-18,216
May-18,214.2
Apr-18,209.2
Mar-18,200.5
Feb-18,200.2
Jan-18,188.6
Dec-17,185.5
Nov-17,184.5
Oct-17,175.6
Sep-17,173.9
Aug-17,173.7
Jul-17,173.4
Jun-17,255.7
May-17,190
Apr-17,197.8
Mar-17,195.5
Feb-17,183.1
Jan-17,180.9
Dec-16,190.5
Nov-16,191.7
Oct-16,187.7
Sep-16,189.8
Aug-16,189.5
Jul-16,188.1
Jun-16,198.3
May-16,198
Apr-16,196.9
Mar-16,187.4
Feb-16,185.9
Jan-16,165.5
Dec-15,175.4
Nov-15,182.6
Oct-15,180.6
Sep-15,186.4
Aug-15,193
Jul-15,199.9
Jun-15,209.5
May-15,203.6
Apr-15,191.6
Mar-15,188.3
Feb-15,184.5
Jan-15,167.5
Dec-14,177
Nov-14,170.3
Oct-14,170.6
Sep-14,173.3
Aug-14,171.5
Jul-14,178.6
Jun-14,186.3
May-14,188.9
Apr-14,188.3
Mar-14,186.3
Feb-14,178.3
Jan-14,171.3
Dec-13,177.3
Nov-13,187.7
Oct-13,179.8
Sep-13,183.7
Aug-13,178.6
Jul-13,192
Jun-13,196.4
May-13,196.6
Apr-13,188.9
Mar-13,186
Feb-13,200.1
Jan-13,194
Dec-12,190.6
Nov-12,188.9
Oct-12,189.3
Sep-12,191.6
Aug-12,188.5
Jul-12,207.2
Jun-12,205.3
May-12,200.7
Apr-12,187.8
Mar-12,187.2
Feb-12,178.2
Jan-12,174.6
Dec-11,181.5
Nov-11,182.6
Oct-11,179.2
Sep-11,166.7
Aug-11,167.7
Jul-11,172.3
Jun-11,172.9
May-11,176
Apr-11,181.5
Mar-11,188.5
Feb-11,181
Jan-11,171.1
Dec-10,188.6
Nov-10,183.5
Oct-10,194.6
Sep-10,198.7
Aug-10,201.8
Jul-10,210
Jun-10,216.4
May-10,223.5
Apr-10,211.9
Mar-10,199.3
Feb-10,170
Jan-10,192.4
Dec-09,192.6
Nov-09,194
Oct-09,205.6
Sep-09,204.8
Aug-09,208.8
Jul-09,204.9
Jun-09,222
May-09,212.4
Apr-09,202.6
Mar-09,192.1
Feb-09,200.4
Jan-09,199.1
Dec-08,181.8
Nov-08,191.6
Oct-08,194.6
Sep-08,179.6
Aug-08,177.2
Jul-08,199
Jun-08,223.2
May-08,228.3
Apr-08,231.7
Mar-08,222.4
Feb-08,240.9
Jan-08,229.5
Dec-07,230.1
Nov-07,237.4
Oct-07,242.7
Sep-07,245.3
Aug-07,235.2
Jul-07,234.3
Jun-07,245.3
May-07,255.8
Apr-07,261.9
Mar-07,265.4
Feb-07,248.4
Jan-07,233
Dec-06,246.2
Nov-06,241.1
Oct-06,239.3
Sep-06,246.3
Aug-06,247.5
Jul-06,246.8
Jun-06,248.8
May-06,249.5
Apr-06,255.4
Mar-06,256.4
Feb-06,265.8
Jan-06,256.3
Dec-05,290.7
Nov-05,266.4
Oct-05,276.5
Sep-05,273.7
Aug-05,274.5
Jul-05,277.1
Jun-05,275.6
May-05,260.7
Apr-05,273.7
Mar-05,278.4
Feb-05,271.7
Jan-05,250.3
Dec-04,290.2
Nov-04,306.8
Oct-04,321.1
Sep-04,307.1
Aug-04,296
Jul-04,317.7
Jun-04,339.4
May-04,361.2
Apr-04,352.9
Mar-04,364.6
Feb-04,337.9
Jan-04,313.1
Dec-03,309.6
Nov-03,316.9
Oct-03,330.6
Sep-03,319.5
Aug-03,316.7
Jul-03,322.5
Jun-03,312.1
May-03,321.5
Apr-03,319.9
Mar-03,327.8
Feb-03,309.5
Jan-03,321.7
Dec-02,331.4
Nov-02,351.1
Oct-02,357.4
Sep-02,331.8
Aug-02,347.6
Jul-02,340.6
Jun-02,340.7
May-02,321.7
Apr-02,331.7
Mar-02,332.3
Feb-02,311.1
Jan-02,272.4
Dec-01,276.8
Nov-01,292.8
Oct-01,314.7
Sep-01,257
Aug-01,270.9
Jul-01,285.9
Jun-01,323.6
May-01,332.5
Apr-01,306
Mar-01,326.1
Feb-01,328.4
Jan-01,309.1
Dec-00,310.3
Nov-00,321.5
Oct-00,335
Sep-00,329.1
Aug-00,329.6
Jul-00,349.9
Jun-00,364.9
May-00,341.1
Apr-00,329.7
Mar-00,331.1
Feb-00,317.9
Jan-00,287.4
Dec-99,332.5
Nov-99,326.6
Oct-99,345.8
Sep-99,338
Aug-99,339.3
Jul-99,369.5
Jun-99,363.7
May-99,369.7
Apr-99,340.3
Mar-99,336.5
Feb-99,327.5
Jan-99,315.5
Dec-98,344.5
Nov-98,342.4
Oct-98,327.3
Sep-98,320.2
Aug-98,317.5
Jul-98,335.4
Jun-98,339.3
May-98,340.6
Apr-98,339.5
Mar-98,348.2
Feb-98,352.5
Jan-98,347.8
Dec-97,368.9
Nov-97,371.4
Oct-97,386.9
Sep-97,373.5
Aug-97,376.8
Jul-97,385.8
Jun-97,384.2
May-97,379.2
Apr-97,368.8
Mar-97,370.4
Feb-97,358.5
Jan-97,357
Dec-96,345.8
Nov-96,362.1
Oct-96,368.5
Sep-96,375.5
Aug-96,355.9
Jul-96,372.1
Jun-96,391.1
May-96,392.1
Apr-96,401.7
Mar-96,398.6
Feb-96,368.2
Jan-96,316.6
Dec-95,388.2
Nov-95,398.3
Oct-95,388.6
Sep-95,390.7
Aug-95,384.2
Jul-95,391
Jun-95,400.9
May-95,393.3
Apr-95,394.9
Mar-95,399.6
Feb-95,396.7
Jan-95,385.2
Dec-94,415.9
Nov-94,414.1
Oct-94,412.5
Sep-94,411.6
Aug-94,408.7
Jul-94,418.3
Jun-94,421.2
May-94,435.9
Apr-94,436.9
Mar-94,426.6
Feb-94,403.6
Jan-94,373.3
Dec-93,441.9
Nov-93,431
Oct-93,445.5
Sep-93,443.4
Aug-93,442.9
Jul-93,460.2
Jun-93,465.7
May-93,457.6
Apr-93,473.1
Mar-93,449
Feb-93,435
Jan-93,436.5
Dec-92,440.6
Nov-92,443
Oct-92,450.8
Sep-92,471.7
Aug-92,451.1
Jul-92,478.2
Jun-92,494.5
May-92,474.7
Apr-92,448.9
Mar-92,444.7
Feb-92,434.5
Jan-92,422.6
Dec-91,431.3
Nov-91,455.3
Oct-91,450.8
Sep-91,434.9
Aug-91,444.7
Jul-91,438.1
Jun-91,457.9
May-91,459.3
Apr-91,455.1
Mar-91,438.8
Feb-91,441.2
Jan-91,439.1
Dec-90,431.4
Nov-90,438.5
Oct-90,440.4
Sep-90,437.1
Aug-90,448.9
Jul-90,422.5
Jun-90,463.2
May-90,448.2
Apr-90,453.8
Mar-90,456.9
Feb-90,451.8
Jan-90,432.1
Dec-89,455.4
Nov-89,456.6
Oct-89,461.5
Sep-89,453.8
Aug-89,454.1
Jul-89,451.3
Jun-89,492.7
May-89,488.5
Apr-89,494.8
Mar-89,483.5
Feb-89,482.9
Jan-89,433.9
Dec-88,487
Nov-88,475.8
Oct-88,492.1
Sep-88,460.8
Aug-88,473.2
Jul-88,454.5
Jun-88,484.9
May-88,462.9
Apr-88,480.6
Mar-88,587.5
Feb-88,597.2
Jan-88,515
Dec-87,548.6
Nov-87,500.7
Oct-87,543.4
Sep-87,454.6
Aug-87,474.1
Jul-87,523.8
Jun-87,483
May-87,465
Apr-87,403.3
Mar-87,395.4
Feb-87,384.3
Jan-87,356.4
Dec-86,425
Nov-86,395.7
Oct-86,417.1
Sep-86,403.7
Aug-86,403.5
Jul-86,422.3
Jun-86,415.4
May-86,409.5
Apr-86,402.6
Mar-86,393.3
Feb-86,385.3
Jan-86,384
Dec-85,408.7
Nov-85,402.8
Oct-85,402.4
Sep-85,384.7
Aug-85,402.9
Jul-85,412.8
Jun-85,416.6
May-85,429.2
Apr-85,435.4
Mar-85,409.3
Feb-85,413.8
Jan-85,410.9
Dec-84,422.9
Nov-84,430.2
Oct-84,416.6
Sep-84,392.8
Aug-84,429.7
Jul-84,410.8
Jun-84,444.2
May-84,445.8
Apr-84,424.5
Mar-84,437.7
Feb-84,414.4
Jan-84,393.5
Dec-83,453.5
Nov-83,438.1
Oct-83,412.1
Sep-83,425.4
Aug-83,451.1
Jul-83,419.3
Jun-83,446.6
May-83,416.6
Apr-83,421.8
Mar-83,433.8
Feb-83,364.4
Jan-83,374.6
